Time;SI;SS;XI;XS;XBH;SNH;SND;XND;SALK;TSS;QI;T
2017-01-01 00:00;2.92E+01;4.59E+01;9.88E+01;4.21E+02;5.57E+01;2.34E+01;6.17E+00;1.38E+01;7.00E+00;4.31E+02;1.50E+04;1.52E+01
2017-01-01 00:15;2.95E+01;4.29E+01;9.67E+01;4.14E+02;5.46E+01;2.26E+01;6.03E+00;1.31E+01;7.00E+00;4.24E+02;1.47E+04;1.51E+01
2017-01-01 00:30;2.98E+01;4.10E+01;9.53E+01;4.09E+02;5.42E+01;2.19E+01;5.94E+00;1.26E+01;7.00E+00;4.19E+02;1.42E+04;1.51E+01
2017-01-01 00:45;2.99E+01;3.97E+01;9.46E+01;4.07E+02;5.41E+01;2.14E+01;5.90E+00;1.24E+01;7.00E+00;4.16E+02;1.35E+04;1.51E+01
2017-01-01 01:00;3.01E+01;3.88E+01;9.41E+01;4.05E+02;5.42E+01;2.09E+01;5.90E+00;1.22E+01;7.00E+00;4.15E+02;1.28E+04;1.50E+01
2017-01-01 01:15;3.01E+01;3.81E+01;9.35E+01;4.02E+02;5.43E+01;2.04E+01;5.90E+00;1.22E+01;7.00E+00;4.13E+02;1.23E+04;1.50E+01
2017-01-01 01:30;3.00E+01;3.75E+01;9.23E+01;3.98E+02;5.42E+01;1.97E+01;5.92E+00;1.23E+01;7.00E+00;4.08E+02;1.17E+04;1.50E+01
2017-01-01 01:45;2.98E+01;3.70E+01;9.05E+01;3.93E+02;5.39E+01;1.90E+01;5.94E+00;1.25E+01;7.00E+00;4.03E+02;1.13E+04;1.50E+01
2017-01-01 02:00;2.94E+01;3.67E+01;8.85E+01;3.87E+02;5.36E+01;1.81E+01;5.97E+00;1.29E+01;7.00E+00;3.97E+02;1.08E+04;1.49E+01
2017-01-01 02:15;2.91E+01;3.64E+01;8.64E+01;3.81E+02;5.32E+01;1.73E+01;6.00E+00;1.32E+01;7.00E+00;3.90E+02;1.04E+04;1.49E+01
2017-01-01 02:30;2.88E+01;3.60E+01;8.45E+01;3.75E+02;5.26E+01;1.69E+01;5.99E+00;1.33E+01;7.00E+00;3.84E+02;1.00E+04;1.49E+01
2017-01-01 02:45;2.86E+01;3.56E+01;8.26E+01;3.70E+02;5.20E+01;1.67E+01;5.94E+00;1.33E+01;7.00E+00;3.78E+02;9.63E+03;1.48E+01
2017-01-01 03:00;2.84E+01;3.52E+01;8.08E+01;3.65E+02;5.13E+01;1.67E+01;5.87E+00;1.32E+01;7.00E+00;3.73E+02;9.27E+03;1.48E+01
2017-01-01 03:15;2.82E+01;3.49E+01;7.91E+01;3.60E+02;5.06E+01;1.67E+01;5.80E+00;1.31E+01;7.00E+00;3.67E+02;8.95E+03;1.48E+01
2017-01-01 03:30;2.81E+01;3.49E+01;7.76E+01;3.56E+02;5.00E+01;1.64E+01;5.68E+00;1.31E+01;7.00E+00;3.63E+02;8.66E+03;1.47E+01
2017-01-01 03:45;2.80E+01;3.54E+01;7.62E+01;3.52E+02;4.95E+01;1.59E+01;5.53E+00;1.31E+01;7.00E+00;3.59E+02;8.38E+03;1.47E+01
2017-01-01 04:00;2.80E+01;3.60E+01;7.50E+01;3.49E+02;4.89E+01;1.52E+01;5.36E+00;1.33E+01;7.00E+00;3.55E+02;8.14E+03;1.47E+01
2017-01-01 04:15;2.79E+01;3.66E+01;7.38E+01;3.46E+02;4.84E+01;1.45E+01;5.20E+00;1.35E+01;7.00E+00;3.51E+02;7.97E+03;1.46E+01
2017-01-01 04:30;2.78E+01;3.69E+01;7.23E+01;3.39E+02;4.75E+01;1.39E+01;5.11E+00;1.36E+01;7.00E+00;3.44E+02;7.96E+03;1.46E+01
2017-01-01 04:45;2.76E+01;3.69E+01;7.06E+01;3.30E+02;4.64E+01;1.35E+01;5.08E+00;1.38E+01;7.00E+00;3.35E+02;8.03E+03;1.46E+01
2017-01-01 05:00;2.74E+01;3.66E+01;6.89E+01;3.19E+02;4.51E+01;1.31E+01;5.08E+00;1.40E+01;7.00E+00;3.25E+02;8.14E+03;1.45E+01
2017-01-01 05:15;2.72E+01;3.66E+01;6.74E+01;3.09E+02;4.41E+01;1.30E+01;5.11E+00;1.42E+01;7.00E+00;3.16E+02;8.23E+03;1.45E+01
2017-01-01 05:30;2.71E+01;3.75E+01;6.65E+01;3.02E+02;4.36E+01;1.32E+01;5.16E+00;1.44E+01;7.00E+00;3.09E+02;8.22E+03;1.45E+01
2017-01-01 05:45;2.70E+01;3.92E+01;6.62E+01;2.98E+02;4.37E+01;1.38E+01;5.23E+00;1.48E+01;7.00E+00;3.06E+02;8.16E+03;1.45E+01
2017-01-01 06:00;2.70E+01;4.14E+01;6.62E+01;2.95E+02;4.40E+01;1.46E+01;5.31E+00;1.52E+01;7.00E+00;3.04E+02;8.11E+03;1.44E+01
2017-01-01 06:15;2.71E+01;4.36E+01;6.57E+01;2.89E+02;4.38E+01;1.56E+01;5.34E+00;1.55E+01;7.00E+00;2.99E+02;8.30E+03;1.44E+01
2017-01-01 06:30;2.79E+01;4.51E+01;6.34E+01;2.73E+02;4.12E+01;1.70E+01;5.18E+00;1.54E+01;7.00E+00;2.83E+02;9.19E+03;1.44E+01
2017-01-01 06:45;2.89E+01;4.57E+01;5.99E+01;2.51E+02;3.70E+01;1.84E+01;4.90E+00;1.50E+01;7.00E+00;2.61E+02;1.05E+04;1.44E+01
2017-01-01 07:00;3.00E+01;4.59E+01;5.63E+01;2.28E+02;3.27E+01;1.97E+01;4.58E+00;1.45E+01;7.00E+00;2.38E+02;1.19E+04;1.44E+01
2017-01-01 07:15;3.09E+01;4.88E+01;5.35E+01;2.10E+02;2.90E+01;2.17E+01;4.48E+00;1.45E+01;7.00E+00;2.20E+02;1.34E+04;1.44E+01
2017-01-01 07:30;3.18E+01;5.99E+01;5.24E+01;2.02E+02;2.68E+01;2.60E+01;4.96E+00;1.58E+01;7.00E+00;2.11E+02;1.52E+04;1.44E+01
2017-01-01 07:45;3.26E+01;7.49E+01;5.23E+01;2.00E+02;2.55E+01;3.14E+01;5.74E+00;1.77E+01;7.00E+00;2.09E+02;1.72E+04;1.44E+01
2017-01-01 08:00;3.32E+01;8.98E+01;5.27E+01;2.01E+02;2.47E+01;3.66E+01;6.54E+00;1.97E+01;7.00E+00;2.09E+02;1.91E+04;1.43E+01
2017-01-01 08:15;3.39E+01;1.01E+02;5.57E+01;2.12E+02;2.61E+01;4.02E+01;7.20E+00;2.12E+01;7.00E+00;2.20E+02;2.13E+04;1.43E+01
2017-01-01 08:30;3.45E+01;1.06E+02;6.54E+01;2.47E+02;3.27E+01;4.05E+01;7.59E+00;2.17E+01;7.00E+00;2.59E+02;2.42E+04;1.43E+01
2017-01-01 08:45;3.52E+01;1.07E+02;7.72E+01;2.91E+02;4.12E+01;3.92E+01;7.82E+00;2.17E+01;7.00E+00;3.07E+02;2.73E+04;1.43E+01
